time,Count,Error
2.1926948043119765,84,0.8668748930134704
2.1691831511767115,87,2.453379675139888
2.800964108812511,40,1.3745342326092365
2.6549795044812896,47,0.7517391965059961
1.5007023874499583,220,2.8393945606390076
2.4938934671946535,57,1.0381890367198767
1.5145935812107436,216,1.7180532433032192
2.642611127902659,48,1.952518037345814
2.5493811797031576,53,1.9482751591223977
2.398397591297649,64,0.3763765440778246
1.314608018068141,288,1.5449410389250224
1.4567700353001514,234,2.2970014321063488
1.604379341843906,190,0.9520829410704196
1.7354727715260903,157,1.7902754513602501
2.2670761227929797,76,2.4184452568776766
2.0445280014387937,103,2.004348115391149
0.6351981788555587,781,0.3634181600818369
1.0451541912680922,426,2.357046592907182
2.6881003967268713,45,1.9809510173352276
1.0146158327956485,446,2.4791715117032807
2.4383914556058603,61,1.2222552700064133
1.7219212662676422,161,2.1618693637794273
2.05356442759984,102,-0.46398620121623346
0.06884034886555612,1813,0.7948393971043994
0.5440750278434101,894,1.2173764368173332
1.4804135311370124,226,1.3092174477706355
1.263654402932772,310,1.7721321586157348
0.37941667643176435,1142,0.15482863067909902
2.1827533883777024,85,2.431907875294752
1.9956751671716244,110,2.44584030915653
1.1358311148990796,374,0.18988385025533872
2.939121345802266,34,0.060208836754189976
0.7606183217625433,649,0.5614101470862836
0.7594308738849372,650,1.5223426602324919
2.995435819065963,32,1.7887383048911767
1.0379006716441246,431,1.52901312815222
2.643164979732608,48,1.5986881147488328
2.7811356177550146,40,0.7441319667599069
2.7890654261680528,40,0.019090113545713217
0.45548426832011335,1019,0.898917805249142
