t,N
0.5408081418477892,348
1.3019216539334155,83
0.9821893256473571,150
1.5991009407796073,50
0.8142949830056896,206
0.9808121428470846,150
0.7915551866907116,215
1.214109445463625,98
0.7515799817056021,232
0.02958168671456818,952
0.8950303662529671,177
1.2989872076834017,84
0.270419111320674,592
1.283413333424833,86
0.31458070989173614,542
0.6410948056482886,287
0.529660241743279,356
1.4440612929944585,65
0.20392288399321346,675
0.02211904929742481,966
1.8590263938078693,34
1.4508990390810372,64
1.136792771634946,112
0.5082350207298736,371
1.7204463247053055,41
0.7116187202745388,250
0.8716389924132566,184
1.024689017794905,138
0.8452755031144352,194
1.881560007229161,33
1.6419011465390436,47
0.4124543044844673,448
0.41454194194152927,446
1.3618218210208826,75
1.7535938425563364,40
0.24681359982910211,620
0.8316867527221075,199
0.8822459076629903,181
1.3455539940553662,77
1.4768795310827971,62
0.6150262280792937,302
1.5917221905117234,51
1.965360806076627,29
0.771577000538173,223
0.3384496853764505,518
1.0017956202994656,144
0.37955012917607545,478
1.6502956663487003,46
1.9415170958629722,30
0.7348054371483732,239
